NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
selvhjelpsverktøy	iešveahkkenreaidu					itsehoitoväline	#iešdikšu#gaskoapmi	iešveahkkereaiddut	iešdikšunreaidun	iešveahkkereaidu	iešdivvunreaidu	
samtykkekompetanse	iešmearridankompetansa	£	iešmearridandáidu			itsemääräämiskyky	#iešmearrideapmigálga	mieđihangelbbolašvuohta	iešmearrideapmi	mieđihangelbbolašvuohta	iešráđálašvuohta	
utfoldelsesmulighet	rahpašanvejolasvuohta					avautumismahdollisuus          Trond sjekka språk hit	N	vejolašvuohta	vejolašvuođat ieš ovdanbuktimii Trond sjekka språk hit	ovdánanvejolašvuohta	ieš-čilgenvejolašvuohta Trond Welhaven gillii	
selvrealisering	iešrealiseren	£	iešollašupmi			itsensä toteuttaminen	ieš ollašupmi	iešdovdu	ieš-aktualiserejupmi	iešrealiseren	iežas ollašuhttin	
selvskading	iešvahágahttin					itsensä vahingoittaminen	ieš #billi	iešsorbmen	iešsorbmen	iešvahágahttin	iežas vahágahttin	
selvaktelse	iešdovdu					itsetunto	omanarvontunto	iešdovdu	ego	iešáddejupmi	iešdovdu	iešdovdu
faselidelse	áigodat váddu	£	áigodat gillámus			jaksottainen vaiva	*jaksottainen váivi	fágaváttut	gaskaboddosaš váttisvuohta	fásalaš gillámuš	áigodaga váttisvuohta	
beinstrekk	julggiid fanaheapmi					jalan ojennus	juolggi 	julggiid guhkkodat	bealjeviiddideapmi	dávttis	juolgesuorbmebáiki	
tørstfølelse	goikku dovdu					janon tunne	goikku dovdu	njuoratmánnádovdu	dovdat njuoskkadeami	dovdu gohččumis	janoáibmu	
jodmangel	joddaváilevašvuohta		jodi vátni			jodin puute	*jodin váilevuohta	jodavátnivuohta	jodavátnivuohta	jodavátni	joda váilun	
drikkemengde	juhkamušmearri					juomamäärä	juhkat #mearri	juhkamuša mearri	juhkamuša mearri	juhkkojuvvon hivvodat	juhkkojuvvon mearri	
drikkevane	juhkandáhpi					juomistapa	juhkat	juhkandábi	juhkanvuohki	juhkandábálaš	juhkanvuohki	
drikkevare	juhkamuš					juotava, juoma	jugahahtti	juhkamuš	juhkamuš, juhkamuš	juhkamušat	juhkkojuvvot	
retardasjon	ovdánanhehttehus					jälkeenjääneisyys	hidastuminen	maŋŋoneapmi	maŋŋoneapmi	maŋŋoneapmi	maŋisboahtti dilli	
avfallsbøtte	bázahuslihtti		ruskalihtti			jäteastia	bázahuslihtti	nuoskkidanbihtá	ruskkaid	doapparbuhtadus	ruskabáiki	
resturin	bázahusgužža					jäännösvirtsa	bázahasgužža	báhcán čáhci	báhcán čáhci	resturin	loahppajupmi	
isvann	jiekŋačáhci					jäävesi	jiekŋačáhci	jiekŋačáhci	jiekŋačáhci	jiekŋačáhci	jiekŋačáhci	
pussbekken	dávgelihtti	£	dávgegearra			kaarimalja	dávgegearra	njuoratmánná	buohtaskálžžu	Pussbekken	rátnogođđin	
gassutveksling	gásaid molsun					kaasujen vaihto	gásaid #molsuheapmi	gássaváldin	gássaid gaskkusteapmi	gásalonohallan	gásaid lonohallan	
gassdannelse	gásagártan					kaasunmuodostus		gássahápmi	gássahápmi	gásahámádat	gásahámádat	
gassutvikling gássagárggiideapmi						kaasunkehitys		gássaovddideapmi	gássahápmi	gásahivvodat	gásahámádat	
fallrisiko	ravganriska					kaatumisriski	ravgat riska	gahččanvárra	gahččanvárra	gahččanvárra	luovusdáhpáhus	
stær	dieigi	£	smáiti			kaihi		njuorjjo	katarakta	fabrihkka	skáidi	
ultralydundersøkelse	ultrajietnaiskkadeapmi					ultraäänitutkimus  ultraäänitutkimus	skádjadutkan  	ultrajietnaiskkadeapmi	ekkokardiografiija ultrajietnaiskkadeapmi	Ultra-jietnagovva	Ultra-jietnadutkamuš	
sjenanse	udjuvuohta		njáigu			ujostelu,kainous	häpeä	balddihahttivuohta	njuoratmánnávuohta	šelggas	rátnu	
kalium	kalium					kalium		kalium	kalium	kalium	kálium	
kalori	kaloriija					kalori	kaloriija	kaloriija	kaloriija	kaloriija	kaloriija	
kaloriinntak	kaloriijaoažžun					kalorien saanti	kaloriijaid oažžun	kaloriijaid váldin	kaloriijaid váldin	kaloriijadálkun	kaloriijaborramuš	
membranside	cuozzabealli					kalvopuoli	cuozzabealli	membrana bealde	membrana bealde	membrána bealli	gállobáddi	
atrium	atrium, gámmir					kammio	gámmir	atrium	kámmár	atriuma	kámmár	
folkehelseproblem	álbmotdearvvasvuohtaváttisvuohta		álbmotdearvvasvuohtaproblema			kansanterveysongelma	álbmogahealsaproblema	álbmotdearvvašvuođaváttisvuohta	álbmotdearvvašvuođaváttisvuohta	álbmotdearvvašvuođa váttisvuohta	álbmotdearvvašvuođačuolbma	
folkehelsepolitikk	álbmotdearvvasvuohtapolitihkka					kansanterveyspolitiikka	álbmogahealsapolitihkka	álbmotdearvvašvuođapolitihkka	álbmotdearvvašvuođapolitihkka	álbmotdearvvašvuođapolitihkka	álbmotdearvvašvuođapolitihkka	
tunnelsyn 	tunneallaoaidnu					putkinäkö		tunneallagovva	smávvamielalašvuohta	tuneallaoaidnu	geahpasvuohta	
kartleggingsundersøkelse	kártendutkamuš					kartoitustutkimus	kártendutkan	kárteniskkadeapmi	kártendutkamuš	kárteniskkadeapmi	kárteniskkadeapmi	
kartleggingsverktøy	kártenreaidu					kartoitusväline	#kárten#gaskoapmi	kártenreaidun	kártenreaidun	kártenreaidu	kártenreaidu	
opphopning	čoggon					kasautuminen, kertyminen		čohkkán	čoaggin, čoaggin	čoagganeapmi	čoagganeapmi	
kastrasjon	gáldin, kastrašuvnna					kastraatio kastroiminen		kastreren	kastreren kastreren	kastreren	gásttašeapmi	
tumor	tumora		šattalmas			kasvain; tuumori	tuumori	borasdávda	borasdávda	šattalmas	šattalmas	guorti
vegetarrett	šaddoborramuš,šaddobiepmu					kasvisruoka	ruonasgušta	šaddoborramuš	šaddoborramuš	šaddogirji	šaddodatborramuš	
ansiktsuttrykk	muohtogeahčastat					kasvonilme	#muođut geahčastat	čalmmiid ovdanbuktimat	čalmmiid ovdanbuktin	ámadaju	ámadaju hápmi	
maskebruk	máskkageavaheapi, máskkaatnu					maskin käyttö, kasvosuojaimen käyttö	*kasvomaskin atnin *kasvosuojaimen atnin	máskka geavaheapmi	čalmmiid máskka geavaheapmi čalmmiid suodjalusa geavaheapmi	čalmmehisvuohta	šaddo maskar geavahus šuddadanávdnasa geavahusas	
ansiktskrem	ámadadjovuoiddas					kasvovoide	njeazzevuoiddas	čalmmiid krema	čalmmiid krema	olggošbuhttehus	rasefuođđara	
veksthormon	šaddohormona					kasvuhormoni	šaddohormona	šaddanhormona	šaddanhormona	ahtanuššanhormon	mu ahtanuššanhormon	
katetersystem	katehtársystema		katehtárvuogádat			katetrijärjestelmä	#katehtárvuogádat	katehtervuogádat	katehtervuogádat	kateteravuogádat	katetrálavuogádat	
kateterstørrelse	katehtársturrodat					katetrikoko		katetera sturrodat	katetera sturrodat	katedrala sturrodat	dimenšuvdna	
kateterspiss	katehtárgeahči					katetrin kärki	#katehtár geahči	katetera čuokkis	katetera čuokkis	kattehterbihttá	katekehtera hoahppu	
katetertupp	katehtároaivi					katetrin pää	#katehtár #oaivi	katetera čuokkis	katetera čuokkis	katetráhppa	katekehtera oaivi	
kateterprøve	katehtárčájánas					katetrinäyte	#katehtárčájánas	katehteriskkadeapmi	katetera ovdamearka	kateterapalaš iskkus	Katetri-iskosaš	
katetertype	katehtártiipa					katetrityyppi	#katehtártiipa	katehteršládja	katehteršládja	katetráhpa šládja	katetráhppa	
takheis	dáhkkeheaisa		rohpeheaisa			kattohissi, kattonosturi	rohpái *kiinnitetty sirdinrusttet	dáhki	čáhcái biddjon sirdinrusttet, čáhcái kránnjá	dáhkáduslihtti	sáddenrusttegat mat leat biddjojuvvon láhčái	
nakkevirvel	čeabetdákti					kaulanikama		hávgga njuoratmánná	njuoratmánná	niskevealgi	giehtagávpi	
skjønnhetsideal	čábbodatideala 		čábbodat ovdagovva			kauneusihanne		ilu ideála	ilu ideála	čábbodaga ideála	čikŋagárri	
utviklingstrinn	ovdáneapmimuddu					kehitysaste	#ahtanuššan#ráđđa	ovdáneami dássi	ovdáneami dássi	ovdánandássi	ovdánandássi	
utviklingshemning	ovdánanváttolaš	£	čálganvádduvuohta			kehitysvammaisuus	ahtanuššanveaidni	ovdáneami váilevašvuohta	psyhkalaš doaibmahehttejupmi	doaibmahehttehus	ovdáneapmi-hehttehus	
kroppsideal	gorutideala					kehoihanne		ideála rumaš	ideála rumaš	rumašideála	du rumaš	
kroppsuttrykk	gorutovdanbuktin					kehollinen ilmaisu	*kehollinen dajahus	rupmaša ovdanbuktin	rumašlaš ovdanbuktin	rumašalbmi	rumašlaš namahus	
kroppsleie	gorutstellelmas		rupmaša stellelmas			kehon kanto	rupmaša stellelmas	rupmaša bálkáheapmi	rupmaša sajádat	rumašdeavdin	rumašguoddu	
kroppsstilling	gorutguoddu	rumašguoddu				ryhti	rupmaša stellelmas	rupmaša sajádat	rupmaša sajádat	rumašguoddu	rumašguoddu	
kroppsstell	gorutdikšu		rumašdiksu			kehon hoito	rupmaša dikšu	rupmaša dikšun	rupmaša dikšun	rumaščoaggin	rumašdivššu	
kroppsbevegelse	gorutlihkadeapmi		rupmaša lihkadeapmi			kehon liike	rupmaša gávpi	rupmaša lihkadus	rupmaša lihkadus	rumašlaš lihkadeapmi	rupmaša lihkadeapmi	
kroppstemperatur	gorut temperatuvra		rupmaša temperatuvra			kehon lämpötila	rupmaša temperatuvra	rupmaša temperatuvra	rupmaša temperatuvra	goruda temperatuvra	rumašdálkkádat	
temperaturforstyrrelse	temperatuvrahehttehus					lämpötilahäiriö	rupmaša temperatuvrra segohus	temperatuvrra rievdadus	rupmaša temperatuvrra rievdan	temperatuvra muosehuhttin	rumašgova temperatuvrra vuosteháhku	
temperaturutvikling	temperatuvrra ovdáneapmi					lämpötilan kehitys	rupmaša temperatuvrra ovddideapmi	temperatuvrra ovdáneapmi	rumaštemperatuvrra ovdáneapmi	temperatuvraovdáneapmi	goruda temperatuvrra ovdáneapmi	
kroppsmasse 	gorutmássa					kehon massa	rupmaša #mássá	rumašmássa	rumašmássa	rumašdieđiheapmi	rumašmássa	
kroppsendring	gorutrievdadus 		rupmaša rievdadus			kehon muutos	rupmaša iežáhus	rupmaša rievdan	rupmaša rievdan	rumašrievdadus	rumaš rievdadeapmi	
kroppsvæske	gorutgolgosat		rupmaša golgosat			kehonesteet	rupmaša siejat	rupmaša čáhci	rupmaša čáhci	rumašjuhkki	golgamat rupmašis	
kroppsvask	bassan		bassan			pesu	rupmaša bassan	rupmaša bassat	rupmaša bassat	rumašbassan	rumašbivttas	
kroppssammensetning	gorutčoahkkádus					kehon koostumus	rupmaša ráhkadus	rupmaša hábmen	rumašstruktuvra	rumaščoahkkádus	rupmaša ráhkadus	
kroppsstruktur	gorutráhkanus					kehon rakenne	rupmaša ráhkadus	rumašstruktuvra	rumašstruktuvra	rumašlaš ráhkadus	rupmaša ráhkadus	
kroppsoverflateg	gorutolgguš					kehon ulkopinta	rupmaša 	rupmaša ovddabealli	rupmaša olggobealli	goruda bajildus	goruda olgguldas hápmi	
kroppsvann	gorutčáhci		rumáščáhci			kehoneste 	rupmaša čáhci	rupmaša čáhci	rupmaša čáhci	rumaščáhci	rumaš čáhci	
kroppsbilde	gorutgovva		rumášgovva			kehonkuva	rupmašagovva	rumašgovva	rumašgovva	rumašgovva	rumašgovva	
kroppsvarme	gorutliekkas		rupmaša liekkas			kehonlämpö	rupmašaliekkas	rupmaša lieggasa	rupmaša temperatuvra	rumašlaš liegganeapmi	rumašdálkkádat	
kroppsvekt	gorutdeaddu		rumášdeaddu			kehonpaino	rupmašadeaddu	rupmaša deaddu	rupmaša deaddu	rumašdeaddu	rumašdeaddu	
kroppsforståelse	gorutipmárdus,gorut áddejupmi 	£	rumášipmardus			kehonymmärrys	rupmašaádden	rupmaša diđolašvuohta	rupmaša diđolašvuohta	rumašáddejupmi	rumašáddejupmi	
ankelknoke	behkeš					kehräsluu	behkeš	njuolggočoarvi	spina bifida	juolgesuorpmas	ruksesluohti	
sirkelbevegelse	gierdolihkastat					kehäliike	birasgávpi	sirkulára lihkadus	sirkulára lihkadus	jorbalihkadus	jorbalihkadus	
keisersnitt	keaisárčuohpadus					keisarinleikkaus		keisariskka	keisariskka	keaisárlávki	keaisárráidu	
pasientfortelling	patientamuitálus					kertomus sairaudesta ja potilaanaolosta	muitalus buozus ja 	pasieantta muitalus	raporta buohcuvuođa birra ja orruma birra pasieantan	pasieantta muitalus	muitalus buohcuvuođa ja buohcuvuođa birra	
oppsamlingskolbe	čoagginlihtti					keräysastia	#čoaggilihtti	čoagginkolbba	čoagginkonteinera	čohkkenskovvi	čohkkenláhki	
oppsamlingssystem	čoagginvuogádat	£	čoagginsystema			keräysjärjestelmä	#čoaggivuogádat	čoagginvuogádat	čoagginvuogádat	čoagginvuogádat	kollektiiva vuogádat	
oppsamlingspose	čoagginseahkka		čoagginbusse			keräyspussi	#čoaggibusse	čoagginbáhpi	čoagginbáhpi	čoaggináigi	čohkkirassuolu	
oppsamling	čoakkáldeapmi, čoakkáldat	£				kerääminen, kokoelma	kerääntyminen	čoakkáldat	keramihkalaš	čoahkkáigeassu	čohkke	čoaggit
utskrivningssamtale	olggosčálihanságastallan					uloskirjautumiskeskustelu	gulahallan ovdal 	heaittihanjearahallan	ságastallan ovdal go vuolggát eret	olggosčálihanságastallan	ságastallan ovdal go čálát olggos	
samtalepartner	ságastallanguoibmi					keskustelukumppani	gulahallanguoibmi	ságastalli	ságastalli	ságastanguoibmi	ságastanguoibmi	
samtaletempo	ságastallanleaktu, ságastallantempo					keskustelunopeus, keskustelutempo	gulahallama 	ságastallama jođánvuohta	ságastallama tempo	gulahallanleaktu	ságastallama hoahppu	
samtalegruppe	ságastallanjoavku					keskusteluryhmä	gulahallanjoavku	ságastallanjoavku	ságastallanjoavku	ságastallanjoavku	ságastallanjoavku	
samtaleterapi	ságastallanterapiija					keskusteluterapia	gulahallanterapiija	ságastallanterapiija	ságastallanterapiija	ságastallanterapiija	ságastallanterapiija	
holdbarhet	seailun					kesto	säilyvyys	bissovašvuohta	bistin	ceavzilvuohta	guhká	bistu
utholdenhetstrening	gierdavašvuođahárjehallan					kestävyysharjoittelu	#gillilvuohtahárjehallan	gierdavašvuođahárjehallan	Gierdavašvuođahárjehallan	gierdavašvuođahárjehallan	gierdavašvuođahárjehallan	
kolssykdom	kolsdávda,geahpesbaskundávda	£				keuhkoahtaumatauti	geahpesbaskkádatdávda	karbonalaš dávda	KOL	kolssa dávda	vuoigŋašiid-dávda	
lungevolum	geahppesvoluma					keuhkojen tilavuus	geahppáid #daddjásvuohta	čoavjevoluma	čoavjevoluma	geahpesvuođus	vuoigŋama portreahtta	
lungefunksjon	geahppesdoaibma					keuhkojen toiminta	geahppáid doaibma	čoavjedoaibma	čoavjedoaibma	geahpesdávda	geahppáid bargu	
lungeavsnitt	geahppá oassi					keuhkon osa	geahppá oassi	čoavjeoassi	oassi čoavjjis	geahppuboahkán	geahpes oassi	
lungesekk	geahppesseahkka					keuhkopussi	geahpesbusse	njuoratmánná	pleura	buhcciidseahkka	vuohččecuocca	
bronkiegrein 	geahpẹsbohci suorgi					keuhkoputken haara	geahpesbohcci #hárči	bronkiála suorggi	bronkusa suorggi	bronkeasu	vuohččecuocca hádja	
bronkie	geahppesbohcci					keuhkoputki	geahpesbohcci	njuoratmánná	njuoratmánná	bronkiija	bronkiijaboraš	
lungeødem	geahpesedema		geahpesbosttáhallan			keuhkopöhö keuhkoedeema	*keuhkopöhö geahpesødema	pulmonála buozalmasvuohta	pulmonála ødem pulmonála ødem	geahpesdávda	vuohččecuocca vuolledábiin	
lungeemboli	geahpesemboliija		geahpesvarrabunci			keuhkoveritulppa  keuhkoembolia	*keuhkoveritulppa  	pulmonála emboliija	pulmonála emboliija pulmonála emboliija	geahpesemboliija	geahpeborasdávda keuhkoemboliijas	
sirkulære	gierdo					kierto	garvit	sirkulára	jorret	jorbbas	jorbbas	
tannemalje	bátnẹgarra					hammaskiille		njuoratmánná	mica	bátneelasta	gállu	
festemiddel	giddenávnnas					kiinnitysaine	giddehusávnnas	divvunávnnas	divvunávnnas	čatnanreaidu	darvánanrusttet	
tilknytningsteori	čatnasanteoriija					kiintymyssuhdeteoria		čatnasumiid teoriija	čatnasumiid teoriija	čatnaseami teoriija	gullevašvuohtateoriija	
kilojoule	kilojoulat					kilojoule	gilojoule	kilojoulat	kilojoulat	kilojoule	kilojoule	
kcal	kcal					kcal	gilokaloriija	kcal	kaloriija	kcal	kilokaloriija	
kilokalori	kilokaloriija					kilokalori	gilokaloriija	kilokaloriija	kaloriija	kilokaloriija	kilokaloriija	
kinin	kiniinna					kiniini		kiniinna	kiniinna	kin-niila	luopmániin	
gipse	gipset					kipsata		gips	gips	gipsabivttas	gipsaravda	
smertesans	bávččasáicu					kipuaisti	bávččasdovdda	váivvi dovdu	váivvi dovdu	bávččagahttin		
smerteproblem	bávččasváttisvuohta		bávččasproblema			kipuongelma	bávččasproblema	váibmováttisvuohta	váibmováttisvuohta	bávččagahttá	bávččagahttin	
smertepumpe	bávččaspumpa					kipupumppu	bávččaspumpa	váibmopumppa	váibmopumppa			
smertetilstand	bávččasdilli					kiputila	bávččasdilli	váibmováttut	váibmodilli	gibuváidudanbivttas		
dokumentasjonssystem	dokumentašuvdnavuogádat		dokumentašuvdnasystema			kirjaamisjärjestelmä  dokumentaatiojärjestelmä	*kirjaamisjärjestelmä  dokumentašuvdnavuogádat	dokumentašuvdnavuogádat	čállinvuogádat dokumentašuvdnavuogádat	bávččagahttin	bávččas	
dokumentasjonsplikt	dokumentašuvdnageatnegasvuohta					kirjaamisvelvollisuus  kirjaamisvelvoite	*kirjaamisvelvollisuus  	dokumentašuvdnageatnegasvuohta	registrerengeatnegasvuohta registrerengeatnegasvuohta	dokumentašuvdnavuogádat	lea dokumenterenvuogádat	
litteraturgjennomgang	girjjálašvuođageahčadeapmi					kirjallisuuskatsaus	#girjjálašvuohtadárkkistus	girjjálašvuođa geahčadeapmi	girjjálašvuođa geahčadeapmi	dokumentašuvdnageatnegasvuohta	čállingeatnegasvuohta	
litteratursøk	girjjálašvuođa ohcan					kirjallisuushaku	#girjjálašvuohtadárkkistus	girjjálašvuođa ohcan	girjjálašvuođa geahčadeapmi	girjjálašvuođa geahčadeapmi		
litteraturstudie 	girjjálašvuođa dutkan					kirjallisuustutkimus	#girjjálašvuohtadárkkistus	girjjálašvuođa dutkan	girjjálašvuođa geahčadeapmi	girjjálašvuođa ohcan		
loggføre	loggagirjen		girjet			lokikirjaus		dimbbar	skearru	loggejuvvo	reivvet	
hospitalisere	hospitaliseret		sisačáliheapmi buohccevissui			kirjautua sairaalahoitoon	*kirjautua 	buohccivissui	čálihit iežas buohcciviessodikšui	buohcceviessu	sisačáliheapmi buohcceviesu divššu vuollái	
spekter	spektra, girjáivuohta					spektri, kirjo	#girjjogárjjohallat	skála	spektra	spekter	girji	
testikkelkreft	bálloborasdávda					kivessyöpä	bálloboras	njuoratmáná borasdávda	njuoratmáná borasdávda	ovdaráksáborašdávda	ráppi vuostá	
steindannelse	geđggiid šaddan					kivien muodostuminen	geđggiid 	geađgehápmi	geađgehápmi	geađgeráhkadus	geađgeráidduid hápmi	
smerteuttrykk	bákcasa ovdanbuktin					kivun ilmaisu	bákčasa dovdot hápmi	váivvi ovdanbuktin	váivvi čájáhus	bávččagahttin	bákčasa dovddahanvuohki	
smerteopplevelse	bávččasvásáhus		bákčasa vásáhus			kipukokemus	bákčasa vásihus	váibmovásáhus	váivvi vásáhus	bávččasvásáhus	bávččas vásáhus	
smertetegn	bávččasmearka					kivun merkki	bákčasa mearka	váivvi mearkkat	váivvi mearka	bákčasa mearka	bákčasa mearka	
smertescore	bávččasčuoggát		bákčasa čuokkesmearkki			kivun pistemäärä	bákčasa čuokkesmearri	váibmočuokkis	váibmočuokkis	Báktehárji	bákčasa čuoggát	
smertebehandling	bávččasdikšun					kivunhoito	bákčasadikšu	sáhkuid dikšun	sáhkuid dikšun	bákčasiid dikšu	bákčasiid dikšu	
smertelindring	bákčasa giehpedeapmi		bákčasa vuogeheapmi			kivunlievitys		sáhkuid buhttejupmi	sáhkuid buhttejupmi	bávččagahttin	bávččagahttin	
klamydiainfeksjon	klamydiainfekšuvdna					klamydiainfektio		klamydiainfekšuvdna	klamydiainfekšuvdna	klamydiainfekšuvdna	klamydiainfekšuvdna	
klor	klora					kloori		klora	klora	klora	klora	
IVF-behandling	IVF-dikšun		iskkusbohcceáhpehisvuođadikšun			IVF-hoito, koeputkihedelmöitys in vitro fertilisaatio (IVF)    *koeputkihedelmöitys 		IVF-divššu	in vitro beaivádeapmi (IVF) *in vitro beaivádeapmi	IVF-dikšun	geahččalanávdnasteapmi in vitro fertilisašuvnnas (IVF) *gođusávdnasteapmi	
prøvesvar	iskkusvástádus					koevastaus	iskanboađus	geahččalanvástádusat	geahččalanboađus	geahččalanvástádus	geahččalanortnet	
prøveresultat	iskkusboađus					koetulos  testitulos	iskanboađus teastaboađus  	geahččalanboađus	geahččalanbohtosa geahččalanbohtosa	geahččalanboađus	geahččalanresultahtta	
mesterlære	meašttiroahpahus					kisällioppi	*kognitiivinen oahppogándamálle	meašttiroahpahus	kognitiiva oahppomodealla	masteroahppu	kognitiiva oahppanmodealla	
kognisjon	kognišuvdna					kognitio	tiedonkäsittelytoiminta	kognišuvdna	kognišuvdna	kognišuvdna	kognišuvdna	kognišuvdna
pasientopplevelse	patientavásáhus					potilaskokemus	vásihus 	pasieantavásáhus	vásáhus pasieantan	pasieantavásáhus	vásáhus buohccivuođas	
erfaringslæring	vásáhusoahppan					kokemusoppiminen		vásáhuslaš oahppan	vásáhuslaš oahppan	vásáhusoahppu	vásáhusoahppu	
erfaringsgrunnlag	vásáhusvuođđu					kokemusperusta	vásihusvuođus	vásáhusvuođđu	vásáhusvuođđu	vásáhusat	muosáhusvuođđu	
fortrolighetskunnskap	oskkáldasvuohtadáidu	£				luottamuksellisuusoppi	*kokemusperäinen diehtu	luohtehahttivuođa máhttu	vásáhuslaš máhttu	luhtolašvuođa gáibádus	vásáhusvuđot diehtu	
erfaringskunnskap	vásáhusdiehtu	£				kokemustieto	vásihusdiehtu	vásáhuslaš máhttu	vásihit máhtu	vásáhusdiehtu	vásihusdiehtu	
helhetsvurdering	oppalaš arvvoštallan		ollislaš árvoštallan			kokonaisarviointi		ollislaš árvvoštallan	ollislaš árvvoštallan	ollislaš árvvoštallan	ollislaš árvvoštallan	
helhetsforståelse	oppalaš ipmárdus		oppalaš áddejupmi			kokonaisymmärrys		ollislaš ipmárdus	oppalaš konseapta	ollislaš áddejupmi	ollislaš ipmárdus	
helhetsoppfatning	oppalašoaidnu					kokonaiskäsitys		ollislaš oaidnu	oppalaš konseapta	ollislaš oaidnu	ollislaš ipmárdus	
totalprotese 	olles protesa					kokoproteesi		ollislaš proteasa	olles giehtaproteasa	ollislaš proteasta	protokolla mii lea ollislaš	
trekantprinsipp	golmmačiegatprinsihppa					kolmikantaperiaate		golmmačuoggá prinsihppa	golmmaoasat prinsihppa	golmmačiegak prinsihppa	golmmačiegak prinsihppa	
kommunikasjonsvanske	kommunikašuvdnaváttisvuohta		gulahallanváttisvuohta			kommunikaatiovaikeus		gulahallanváttisvuohta	gulahallanváttisvuohta	gulahallanváttisvuohta	gulahallanváttisvuohta	
kommunikasjonsmiddel	kommunikašuvdnareaidu					kommunikaatioväline		gulahallanvuohki	gulahallanvuohki	gulahallangaskaoapmi	gulahallangaskaoapmi	
kommunikasjonskapasitet	kommunikašuvdnakapasitehtta 		gulahallannákca			kommunikointikapasiteetti		gulahallannávccat	gulahallanmáhttu	gulahallannákca	gulahallanattáldat	
komplikasjon	komplikašuvdna					komplikaatio		komplikašuvdna	komplikašuvdna	váttisvuohta	soahpameahttun	
kompresjonsgrad	komprešuvdnaceahkki					kompressioaste	#komprešuvdna#ráđđa	kompressiijaproseanta	kompressiijaproseanta	komprimerenceahkki	komprimerenceahkki	
kompresjonsbehandling	komprešuvdnadikšu					kompressiohoito	komprešuvdnadikšu	kompressiiva dikšun	komprešuvdnaterapiija	komprimerenmeannudeapmi	komprimerejuvvon dikšun	
kompresjonsbrudd	komprešuvdnadodjon					kompressiomurtuma		kompressiiva rievdan	kompressiiva rievdan	komprimerenmuttus	kompressačoahkkebordni	
kompresjonsbandasje	komprešuvdnačanas					kompressioside	komprešuvdnačanas	kompressiijabihttá	kompressiijabihttá	komprimerenbáddi	komprimerejuvvon veaiki	
kontakttermometer	kontaktatermomihttár					kontaktikuumemittari		oktavuođatermomehter	oktavuođatermomehter	gulahallantearbmomearri	guoskaliekkasmihttár	
kontraktur	kontraktuvra					kontraktuura	kutistuma	kontraktuvra	kontraktuvra	soahpamuš	kontraktuvra	
kontrollspørsmål	kontrollagažaldagat					kontrollikysymys	kontrollagažaldat	kontrollagažaldagat	bearráigeahččanášši	bearráigeahččangažaldagat	bearráigeahččanášši	
oppsummeringsskjema	čoahkkáigeassinskovvi					yhteenvetolomake		čoahkkáigeassu	čoahkkáigeassu	čoahkkáigeassinskovvi	čoahkkádusskovvi	
reparasjonshvile	divvunvuoiŋŋasteapmi					korjaava lepo	#muddet vuoiŋŋasteapmi	divvut	fas faskkodan vuoiŋŋasteapmi	divvunbottu	vuoiŋŋasteapmi	
koronapandemi	koronapandemiija					koronapandemia	koronapandemiija	koronapandemiija	koronapandemiija	koronapandemia	koronapandemia	
øreskylling	bealljedoidin					korvahuuhtelu	#beallji#doidildeapmi	čuovgačuohppan	čuoikkaid čáhci	bealljenávllálaš	bealljenávhllahat	
øretermometer	bealljetermomihttár					korvakuumemittari		čuovgatermomehter	čuovgafebermihtideaddji	bealljeliekkastearpma	bealljeliekkasmihttu	
erstatningskrav	buhtadusgáibádus					korvausvaatimus	buhtadasgáibádus	buhtadusgáibádus	buhtadusgáibádus	buhtadusgáibádus	buhtadusgáibádus	
urørlighetssone	duohtatmeahttunvuohtaavádat					koskemattomuusvyöhyke		guoskatkeahtes guovlu	rihkkumeahttun guovlu	lea bissovašvuođaguovlu	guoskameahttunvuođa avádat	
kontaktallergi	kontaktaallergiija 		guoskkahusallergiija			kontaktiallergia, kosketusallergia	guoskkahusallergiija	oktavuođaallergiija	oktavuođaallergiija	oktavuohtaallergiija	guoskkahallanallergiija	
fuktighetskrem	láktadanvuoiddas					kosteusvoide	lávttasvuoiddas	čáhceávnnas	čáhceávnnas	láigeboađus	vuoiddas	
brukerrettighet	geavaheaddjivuoigatvuohta					käyttäjän oikeudet	#ruoktu#dikšu#buohcci rievttit	geavaheaddjivuoigatvuohta	ruovttudikšuma pasieantta vuoigatvuođat	geavaheaddjivuoigatvuohta	ruovttubuohcci vuoigatvuođat	
hjemmesykepleietjeneste	ruoktobuohccedivššu bálvalusat					kotisairaanhoidon palvelut	#ruoktubuohccedivššu bálvalusat	ruovttudikšunbálvalus	ruovttudikšunbálvalusat	ruovttubuohccedikšobálvalus	ruovttubuohccedivššu bálvalusat	
hjemmeoppfølging	ruoktočuovvun					kotiseuranta	#ruoktučuovvuleapmi	ruovttus čuovvoleapmi	ruovttubearráigeahčču	ruovttučuovvuleapmi	ruovttugilleguovlu	
utskrivingsbrev	heaittihanreive	£				kotiutusohje		heaittihanreive	heaittihanreive	čálihanreive	máhcahanreive	
fleksjon 	flekšuvdna		roaŋkkuheapmi			fleksio, koukistus		njuoskkadeapmi	njahkat	dávggasvuohta	dego streaika	
